id,hindi,english
172,बिस्तर से बाहर निकलो!,Get out of bed!
173,नव वर्ष की शुभकामनाएं!,Happy New Year!
174,नए साल की बधाईयाँ।,Happy New Year!
175,जन्मदिन मुबारक हो!,Happy birthday!
176,आपकी छुट्टियाँ मंगलमय हों ।,Happy holidays.
177,उसके पास दाढ़ी है।,He has a beard.
178,वह अभिनेता है।,He is an actor.
179,उसको पैसों की कमी थी।,He was hard up.
180,मुझे इतिहास पसंद है।,I like history.
181,मुझे यह कुत्ता अच्छा लगता है।,I like the dog.
182,मुझे एक तो खरीदना ही होगा।,I must buy one.
183,मैं वापस आऊँगा।,I'll come back.
184,मैं तुम्हें फ़ोन करूँगा।,I'll phone you.
185,मैं घर पर ही रहूँगा।,I'll stay home.
186,मैं अनीश्वरवादी हूँ।,I'm an atheist.
187,मैं भगवान में यकीन नहीं करता।,I'm an atheist.
188,मैं बहुत थक गया हूँ।,I'm very tired.
189,आज मौसम बहुत गरम है।,It's hot today.
190,यह किताब है।,It's this book.
191,तुम्हारी चाल है।,It's your move.
192,भगवान जाने।,Only God knows.
193,गर्मियाँ खतम हों चुकीं हैं।,Summer is over.
194,आराम से आओ।,Take your time.
195,सोच लो।,Think about it.
196,यह एक किताब है।,This is a book.
197,यह किताब है।,This is a book.
198,यह मेरा बस्ता है।,This is my bag.
199,यह मेरा कुत्ता है।,This is my dog.
200,टॉम मेरा आदर्श है।,Tom is my idol.
201,अपने पैर धोओ।,Wash your feet.
202,हम संगीत की पढ़ाई करते हैं।,We study music.
203,हम आपको फ़ोन करेंगे।,We'll call you.
204,हम आपको बुलाएँगे।,We'll call you.
205,तुम कहाँ थे?,Where were you?
206,आप कहाँ थे?,Where were you?
207,पूछ क्यों रहे हो?,Why do you ask?
208,तुम्हें जाना होगा।,You have to go.
209,तुम थके-हारे से लगते हो।,You look tired.
210,मज़ाक कर रहे हो!,You're kidding!
211,एक आदमी के लिए काम करना ज़रूरी है।,A man must work.
212,तुम घर पे हो क्या?,Are you at home?
213,क्या आप लोग ठीक हो?,Are you guys OK?
214,जल्दी घर आजाओ।,Come home early.
215,आ सको तो आना।,Come if you can.
216,बधाई हो!,Congratulations!
217,मुबारक हो!,Congratulations!
218,वह वहाँ गया क्या?,Did he go there?
219,मेरी याद आई क्या?,Did you miss me?
220,पागल मत बनो।,Don't be absurd.
221,वह मत खोलिए।,Don't open that.
222,सब मुस्कुराए।,Everyone smiled.
223,सभी ने इंतज़ार किया।,Everyone waited.
224,वह भागते हुए आया।,He came running.
225,वह बीमार नहीं हो सकता।,He can't be ill.
226,उसने टोपी पहनी हुई है।,He has a hat on.
227,यह मेरा पति है।,He's my husband.
228,सब लोग कैसे हैं?,How is everyone?
229,कैसा चल रहा है?,How is it going?
230,तुम कितने साल के हो?,How old are you?
231,कितने बदतमीज़ हो तुम!,How rude of you!
232,बदतमीज़!,How rude of you!
233,मैंने रात का खाना पकाया।,I cooked dinner.
234,मुझे उल्टी आ रही है।,I feel nauseous.
235,मैं हर साल जाता हूँ।,I go every year.
236,मुझे कोई आवाज़ सुनाई दी।,I heard a noise.
237,मुझे यह वाला पसंद है।,I like this one.
238,मैं रोज़ दौड़ने जाता हूँ।,I run every day.
239,मैंने उसे फिरसे देखा।,I saw her again.
240,मुझे गिटार चाहिए।,I want a guitar.
241,मुझपर हमला किया गया।,I was assaulted.
242,मैं अच्छा रसोइया हूँ।,I'm a good cook.
243,मैं अच्छा बावर्ची हूँ।,I'm a good cook.
244,मैं जाने वाला हूं।,I'm going to go.
245,आज मेरा नसीब अच्छा है।,I'm lucky today.
246,कोई है क्या?,Is anybody here?
247,क्या यह काला नहीं है?,Is it not black?
248,यहाँ कैफ़े है क्या?,Is there a cafe?
249,चलो पतंग उड़ाएँ!,Let's fly kites.
250,"नहीं, मैं नहीं गया था।","No, I didn't go."
251,आसपास कोई नहीं है।,Nobody's around.
252,बस अब रोना बंद करो।,Now stop crying.
253,लोग टॉम को प्यार करते हैं।,People love Tom.
254,बैठिए।,Please sit down.
255,वह तो हसीना है।,She is a beauty.
256,वह बहुत बोलती है।,She talks a lot.
257,वह बहुत बक-बक करती है।,She talks a lot.
258,यह तो ठीक नहीं है।,That isn't fair.
259,वह मेरी गलती है।,That's my fault.
260,कुत्ता मेरा है।,The dog is mine.
261,बिजली गई हुई है।,The power's out.
262,ये चिड़ियाँ हैं।,These are birds.
263,यह तुम्हारे लिए है।,This is for you.
264,टॉम महिलाओं से प्यार करता है।,Tom loves women.
265,टॉम ने एक चूहा देखा।,Tom saw a mouse.
266,ध्यान से देखें।,Watch carefully.
267,हमे किसी भी चीज़ की कमी नहीं है।,We lack nothing.
268,अभी कितने बजे हैं?,What time is it?
269,अभी क्या समय हो रहा है?,What time is it?
270,अब क्या बचा है?,What's left now?
271,तुम्हारी उम्र क्या है?,What's your age?
272,मेरी किताब कहाँ है?,Where's my book?
273,तुम इनसान हो।,You're a person.
274,आप डॉक्टर हैं क्या?,Are you a doctor?
275,क्या तुम मुझे सिखा सकते हो?,Can you teach me?
276,ध्यान से चुने।,Choose carefully.
277,ऊपर तक चढ़ जाओ।,Climb to the top.
278,आओ हमारे साथ बैठो।,Come and join us.
279,आओ हमारे साथ बैठो।,Come sit with us.
280,आलूओं को काटो।,Cut the potatoes.
281,तुम्हारे पास चावल है क्या?,Do you have rice?
282,मूँह मत बनाओ।,Don't make faces.
283,शोर मत मचाओ।,Don't make noise.
284,मज़े करो।,Have a good time.
285,मज़े करो।,Have a nice time.
286,उसके पैर लम्बे हैं।,He has long legs.
287,वह उसका दोस्त है।,He is her friend.
288,उसे संत्रे अच्छे लगते हैं।,He likes oranges.
289,उसे नारंगी अच्छे लगते हैं।,He likes oranges.
290,वह तुमसे प्यार करता होगा।,He must love you.
291,वह अरबी बोलता है।,He speaks Arabic.
292,"यह लो, तुम्हारा बस्ता।",Here is your bag.
293,मुझे याद नहीं।,I can't remember.
294,मैं उसे नहीं जानता।,I don't know him.
295,मैं मुश्किल में हूँ।,I have a problem.
296,मुझे अभी जाना है।,I have to go now.
297,मैंने टॉम की मदद की।,I helped Tom out.
298,मैं आस-पड़ोस में रहता हूँ।,I live near here.
299,मैं अपनी माँ से प्यार करता हूँ,I love my mother.
300,मुझे अब जाना होगा।,I must leave now.
301,मैं बहुत बूढ़ी नहीं हूँ ।,I'm not very old.
302,मैं बहुत बूढ़ा नहीं हूँ ।,I'm not very old.
303,मैं बहुत थक गया हूँ।,I'm really tired.
304,मुझे बहुत प्यास लगी है।,I'm very thirsty.
305,आज एक अप्रैल है।,It's April first.
306,अब मेरी बारी है।,It's now my turn.
307,मैं फिर से कोशिश करता हूँ।,Let me try again.
308,ज़िंदगी एक पहेली है ।,Life is a riddle.
309,आपसे मिलकर खुशी हुई।,Nice to meet you.
310,किसी ने जवाब नहीं दिया।,No one responded.
311,मेरे साथ आईए।,Please follow me.
312,यहाँ अपना हस्ताक्षर कीजिए।,Please sign here.
313,उसने तुम्हें धोखा दिया।,She betrayed you.
314,वह सुन्दर है।,She is beautiful.
315,बैठिए।,"Sit down, please."
316,ऐसा कहना बंद करो!,Stop saying that!
317,गाड़ी तैयार है।,The car is ready.
318,यह तुम्हारा कुत्ता है।,This is your dog.
319,यह आपकी चाबी है।,This is your key.
320,यह सही नहीं है।,This isn't right.
321,टॉम मेरा दोस्त है।,Tom is my friend.
322,हम खरीदारी करने गए थे।,We went shopping.
323,हम घर जा रहें हैं।,We're going home.
324,हम जल्दी में हैं।,We're in a hurry.
325,वह कौनसी चिड़िया है?,What's that bird?
326,क्या कहानी है?,What's the story?
327,आपका नाम क्या है?,What's your name?
328,तुम कहाँ गए थे?,Where did you go?
329,शराबख़ाना कहाँ है?,Where is the bar?
330,किसकी बारी है?,Whose turn is it?
331,तुम शायद सही हो।,You may be right.
332,मैं उस लिस्ट में हूं?,Am I on that list?
333,तुम्हारी आँखे खराब हैं क्या?,Are your eyes bad?
334,पक्षी घोसले बनातें हैं।,Birds build nests.
335,चिड़ियाँ घोसले बनातीं हैं।,Birds build nests.
336,लड़के तो लड़के ही रहेंगे।,Boys will be boys.
337,मैं कुछ कर सकता हूँ क्या?,Can I do anything?
338,आप बाहर नहीं गए थें क्या?,Didn't you go out?
339,तुम बाहर नहीं गए थे क्या?,Didn't you go out?
340,तू बाहर नहीं गया था क्या?,Didn't you go out?
341,क्या तुम्हें मुझपर यकीन है?,Do you believe me?
342,क्या तुम मुझपर यकीन करते हो?,Do you believe me?
343,क्या तुम मेरा यकीन करते हो?,Do you believe me?
344,उसे धोका मत दो।,Don't deceive him.
345,सब चिल्लाए।,Everyone screamed.
346,वह चिल्लाने लगा।,He began to shout.
347,वह मुझसे मिलने आया था।,He came to see me.
348,वह किसी नौकरी के पीछे पड़ा है।,He is after a job.
349,वह अब चल रहा है।,He is walking now.
350,उसने विदेश में पढ़ाई करी थी।,He studied abroad.
351,वह देशद्रोही बन गया।,He turned traitor.
352,वह जाचुका है।,He's already left.
353,मैं गाड़ी चला सकता हूँ।,I can drive a car.
354,मैं पूरी रात रोई।,I cried all night.
355,मुझे नींद आ गई।,I got very sleepy.
356,मेरे सिर में दर्द हो रहा है।,I have a headache.
357,मुझे सिरदर्द हो रहा है।,I have a headache.
358,मेरे पास कुछ पैसे हैं।,I have some money.
359,मेरी उससे मुलाकात नहीं हुई है।,I haven't met him.
360,मुझे पुरानी चीज़ें पसंद हैं।,I like old things.
361,मैं संगीत सुनता हूँ।,I listen to music.
362,मैंने उसे दौड़ते हुए देखा।,I saw him running.
363,मैंने उसे भागते हुए देखा।,I saw him running.
364,मैं उससे सच्चा प्यार करता था।,I truly loved her.
365,मैं बैंक में काम करता हूँ।,I work for a bank.
366,मैं खुश हो रहा हूँ।,I'm getting happy.
367,मैं विद्यार्थी नहीं हूँ।,I'm not a student.
368,मैं वैसा नहीं हूँ।,I'm not like that.
369,मुझे बहुत भूख लगी है।,I'm really hungry.
370,मेरी ग़लती नहीं है।,It's not my fault.
371,शुरू हो रहा है।,It's starting now.
372,जीवन एक रहस्य है।,Life is a mystery.
373,मेरा बस्ता चोरी हो गया था।,My bag was stolen.
374,मेरी आँखें थक गईं हैं।,My eyes are tired.
375,आसपास कोई नहीं है।,No one's in sight.
376,हाथ ऊपर करो!,Put your hands up!
377,वह गाने लगी।,She began to sing.
378,उसकी नीली आँखें हैं।,She has blue eyes.
379,वह शादीशुदा नहीं है।,She isn't married.
380,मुझे सच्चाई बताओ।,Tell me the truth.
381,वह मेरी ग़लती थी।,That was my fault.
382,पृथ्वी घूमती है।,The earth rotates.
383,टॉम हमें आमंत्रित कर सकता है।,Tom may invite us.
384,एक बार फिरसे कोशिश करो।,Try it once again.
385,एक बार और प्रयत्न करो।,Try it once again.
386,रेडियो को चालू करो।,Turn on the radio.
387,हम उसे नहीं जानते हैं।,We don't know her.
388,हम उसे नहीं जानते हैं।,We don't know him.
389,हमारे पास खुशखबर है।,We have good news.
390,हम जंग के ख़िलाफ़ हैं।,We're against war.
391,हम युद्ध का विरोध करते हैं।,We're against war.
392,खुशी क्या होती है?,What is happiness?
393,सुख क्या होता है?,What is happiness?
394,आपका नाम क्या है?,What is your name?
395,मुश्किल क्या है?,What's the matter?
396,आप कब मिले?,When did you meet?
397,तू कब मिला?,When did you meet?
398,आप कहाँ रहते हैं?,Where do you live?
399,तुम कहाँ रहते हो?,Where do you live?
400,तू कहाँ रहता है?,Where do you live?
401,तुम कहाँ रहती हो?,Where do you live?
402,तू कहाँ रहती है?,Where do you live?
403,वह किताब कहाँ है?,Where is the book?
404,समुद्र तट कहां है?,Where's the beach?
405,यह पाय किसने बनाई है?,Who made this pie?
406,हाँ। यह सही है।,Yes. That's right.
407,तू मेरे रास्ते में आ रहा है।,You are in my way.
408,तुम्हें जाना होगा।,You have to leave.
409,तुम आज बिज़ी हो क्या?,Are you busy today?
410,तुम्हारे पास आज समय है क्या?,Are you busy today?
411,हम बात कर सकते हैं क्या?,Can we have a talk?
412,हमारे साथ आओ।,Come along with us.
413,तुम अच्छे से सोये क्या?,Did you sleep well?
414,तुम्हें मैं याद हूँ क्या?,Do you remember me?
415,उम्मीद मत छोड़ो।,Don't give up hope.
416,पत्थर मत फेंको।,Don't throw stones.
417,उसे सब पसंद करते हैं।,Everyone likes her.
418,उसे सब पसंद करते हैं।,Everyone likes him.
419,सब बच गए।,Everyone was saved.
420,सभी को बचा लिया गया।,Everyone was saved.
421,तेरी अकल घास चरने गई है क्या?,Have you gone nuts?
422,उसने गहरी साँस ली।,He breathed deeply.
423,उसने अपनी आँखें बंद करीं।,He closed his eyes.
424,वह रोया और और रोया।,He cried and cried.
425,वह साधा आदमी है।,He is a simple man.
426,वह ज़रूर आएगा।,He is sure to come.
427,वह मेरा चचेरा भाई नहीं है।,He isn't my cousin.
428,वह मेरा ममेरा भाई नहीं है।,He isn't my cousin.
429,उसने अपनी बारी का इंतेज़ार किया।,He waited his turn.
430,वह बैंक में काम करता है।,He works at a bank.
431,वह अच्छा इनसान है।,He's a good person.
432,मैं अपनी ग़लती मानता हूँ।,I admit my mistake.
433,मैं अंग्रेज़ी पढ़ सकता हूँ।,I can read English.
434,मैं अंग्रेज़ी पढ़ सकती हूँ।,I can read English.
435,मुझे विश्वास नहीं होता!,I can't believe it!
436,मैं वही करता हूं जो मुझे बताया जाता है।,I do what I'm told.
437,मैं वही करती हूं जो मुझे बताया जाता है।,I do what I'm told.
438,मैंने उसके बाहर जाने की आवाज़ सुनी।,I heard him go out.
439,मुझे उसका पता पता है।,I know her address.
440,मुझे उसका पता पता है।,I know his address.
441,मैं उन औरतों को जानता हूँ।,I know those women.
442,मैं तुम्हारे पिताजी को जानता हूँ।,I know your father.
443,मुझे वह अच्छा सा लगता है।,I sort of like him.
444,मुझे अभी भी नहीं पता।,I still don't know.
445,मैं १९६० में पैदा हुआ था।,I was born in 1960.
446,मैं १९७९ में पैदा हुआ था।,I was born in 1979.
447,मैं बहुत प्यासा था।,I was very thirsty.
448,मैं बहुत प्यासा थी।,I was very thirsty.
449,मैं टीवी देखता हूँ।,I watch television.
450,मैंने पूरी रात काम किया।,I worked all night.
451,मैंने रातभर काम किया।,I worked all night.
452,बाद में मिलेंगे।,I'll see you later.
453,फिर मिलेंगे।,I'll see you later.
454,मैं एक अच्छा शिक्षक हूँ।,I'm a good teacher.
455,मैं एक अच्छी शिक्षिका हूँ।,I'm a good teacher.
456,मैं तुम्हारे जितना लम्बा हूँ।,I'm as tall as you.
457,मैं अभी आता हूँ।,I'm coming at once.
458,क्या यह किताब तुम्हारी है?,Is this book yours?
459,अभी से रात हो गई है।,It is already dark.
460,बरफ़ जैसा दिखता है।,It looks like snow.
461,बरफ़ गिरनी शुरू गो गई।,It started to snow.
462,यह मेरा सूटकेस था।,It was my suitcase.
463,वो मजेदार था I,It was sort of fun.
464,बहुत महंगा है!,It's too expensive.
465,बहुत महंगी है!,It's too expensive.
466,यहाँ बहुत गरम है।,It's very hot here.
467,यह मुझे संभालने दो।,Let me handle this.
468,रेलगाड़ी से चलते हैं।,Let's take a train.
469,मेरा परिवार छोटा है।,My family is small.
470,मेरे पाँव जम चुके हैं।,My toes are frozen.
471,कोई मेरी मदद नहीं कर सकता।,No one can help me.
472,वह बहुत सुंदर है।,She is very pretty.
473,उसने खुशी से मुस्कुराया।,She smiled happily.
474,वह डॉक्टर नहीं है।,She's not a doctor.
475,मुझे उस आदमी से चिढ़ आती है।,That guy annoys me.
476,बॅटर आऊट हो गया था।,The batter was out.
477,कौआ उड़ गया।,The crow flew away.
478,बिजली चली गई।,The power went out.
479,चोर गायब हो गया।,The thief vanished.
480,ये कुत्ते बड़े हैं।,These dogs are big.
481,यह मेरी का कुत्ता है।,This is Mary's dog.
482,टॉम घर आ रहा है।,Tom is coming home.
483,टॉम वहाँ जा रहा है।,Tom is going there.
484,टॉम 97 वर्ष तक जीवित रहे।,Tom lived to be 97.
485,उसकी कहानी सच्ची थी क्या?,Was his story true?
486,हमे स्केटिंग करके मज़ा आया।,We enjoyed skating.
487,हम बात करते रहे।,We kept on talking.
488,हम जल्दी में थे।,We were in a hurry.
489,हम बहुत थक चुके थे।,We were very tired.
490,हम अच्छे दोस्त हैं।,We're good friends.
491,कितना बड़ा कद्दू है!,What a big pumpkin!
492,मुश्किल क्या है?,What's the problem?
493,शुरू कब होता है?,When does it begin?
494,बच्चे कहाँ गए?,Where are the kids?
495,तुम्हारा कुत्ता कौनसा है?,Which dog is yours?
496,गुलदान को किसने तोड़ दिया?,Who broke the vase?
497,यह केक किसने बनाया है?,Who made this cake?
498,गाड़ी कौन चला रहा है?,Who's at the wheel?
499,यह किसकी किताब है?,Whose book is this?
500,आप ऐसा कह सकते हैं ।,You could say that.
501,तुम मेरी कलम इस्तेमाल कर सकते हो।,You may use my pen.
502,मेरे सवालों का जवाब दो।,Answer my questions.
503,वे जिमखाने में हैं क्या?,Are they in the gym?
504,तुम्हें गाड़ी चलाना आता है क्या?,Can you drive a car?
505,तुम गाड़ी चला सकते हो क्या?,Can you drive a car?
506,यहाँ हस्ताक्षर कर सकते हैं क्या?,Could you sign here?
507,उसे सब पसंद करते हैं।,Everybody likes her.
508,उसे सब पसंद करते हैं।,Everybody likes him.
509,"माफ़ कीजिएगा, मैं खो गई हूँ।","Excuse me, I'm lost."
510,उसने कमरे में प्रवेश किया।,He entered the room.
511,वह कमरे में दाखिल हुआ ।,He entered the room.
512,उसे बहुत अकेलापन महसूस हुआ।,He felt very lonely.
513,वह मेरे पड़ोस में रहता है।,He lives next to me.
514,वह बहुत थका-हारा सा लगता है।,He looks very tired.
515,वह दिखने में बहुत अमीर लगता है।,He seems to be rich.
516,उसकी हालत बुरी है।,He's in a bad state.
517,और स्वाद कैसा है?,How about the taste?
518,तुमने कैसे बनाया?,How did you make it?
519,मैं भारत से नहीं हूँ।,I am not from India.
520,मैं किताब पढ़ रही हूँ।,I am reading a book.
521,मुझे यकीन है कि टॉम खुश था।,I bet Tom was happy.
522,मैंने पुरानी गाड़ी खरीदी।,I bought an old car.
523,मैं अंग्रेज़ी पढ़ा सकता हूँ।,I can teach English.
524,मैं गाता चला गया।,I continued singing.
525,मुझे गर्मी का मौसम पसंद नहीं है।,I don't like summer.
526,मैं उससे पूछना भूल गया।,I forgot to ask him.
527,मुझे जोखिम लेना पसंद नहीं है।,I hate taking risks.
528,मैंने अभी तक नहीं खाया है।,I haven't eaten yet.
529,मैं दोनो को जानता था।,I know both of them.
530,मुझे पता है कि वह चीज़ क्या है।,I know what that is.
531,मुझे यहां आना अच्छा लगता है।,I like to come here.
532,मैं दिन के €100 कमाता हूं।,I make €100 a day.
533,मैंने तुम्हें बताने की कोशिश करी थी।,I tried to tell you.
534,मैं उससे शादी करना चाहता हूँ।,I want to marry her.
535,मैं चाहता था कि वह जीत जाए।,I wanted her to win.
536,काश मैं मदद कर पाता।,I wish I could help.
537,मुझे शहर का नक्शा चाहिए।,I'd like a city map.
538,मैं उसे देखना चाहूँगा।,I'd like to see her.
539,मैं उससे मिलना चाहूँगा।,I'd like to see her.
540,मैं दस बजे वापस आऊँगा।,I'll be back at ten.
541,मैं शराब लाता हूँ।,I'll bring the wine.
542,मैं शराब लाऊँगा।,I'll bring the wine.
543,मैं तुम्हें खुश करूँगा।,I'll make you happy.
544,मैंने फ़ोन कर लिया है।,I've already called.
545,मेरी टिकट खो गई है।,I've lost my ticket.
546,चलो बेसबॉल खेलतें हैं।,Let's play baseball!
547,मुझे स्याही से ही लिखना होगा?,Must I write in ink?
548,मेरे परिवार को टॉम पसंद था।,My family loved Tom.
549,मेरे पैसे चोरी हो गए।,My money was stolen.
550,मेरी बहन के पास नौकरी है।,My sister has a job.
551,वह काम करती रही।,She kept on working.
552,उसने मेरी कमीज़ खींची।,She pulled my shirt.
553,वह बाघ नहीं है।,That is not a tiger.
554,वह मेरी ग़लती थी।,That was my mistake.
555,आसमान साफ़ है।,The skies are clear.
556,पेड़ हरे हैं।,The trees are green.
557,ये हमारी किताबें हैं।,These are our books.
558,यह वही चीज़ है जिसकी मुझे ज़रूरत है।,This is what I need.
559,टॉम बहुत पागल है।,Tom is pretty crazy.
560,टॉम को अब पसीने आ रहे हैं ।,Tom is sweating now.
561,ज़बान सम्भाल के बात करो।,Watch your language.
562,हम अच्छे दोस्त हैं।,We are good friends.
563,हमारे पास काला कुत्ता है।,We have a black dog.
564,हमें टैक्स भरना पड़ेगा।,We must pay the tax.
565,तुमने क्या जवाब दिया?,What did you answer?
566,इस डब्बे में क्या है?,What is in this box?
567,तुम क्या कर रहे थे?,What were you doing?
568,तुम कहाँ जा रहे हो?,Where are you going?
569,आप कहाँ जा रहे हैं?,Where are you going?
570,हवाई अड्डा कहाँ पर है?,Where's the airport?
571,तुम्हारी किताब कौनसी है?,Which book is yours?
